time,Country,State,Population,MFRatio,0-14,15-65,65+
2018,US,Alabama,4874064,0.9328201156583735,901598,3145572,826894
2018,US,Alaska,718003,1.052604194956561,154930,476062,87011
2018,US,Arizona,7152019,0.9848464370685739,1364083,4529686,1258250
2018,US,Arkansas,3008566,0.9626578050549807,584413,1912326,511827
2018,US,California,39400984,0.9829692360575328,7478175,26253784,5669025
2018,US,Colorado,5659521,1.0056286388319025,1050185,3801107,808229
2018,US,Connecticut,3565756,0.9498419951212337,597042,2353593,615121
2018,US,Delaware,963754,0.932699230132135,168712,613956,181086
2018,US,District of Columbia,698300,0.8959623576942187,111812,501185,85303
2018,US,Florida,21230824,0.952159153183836,3507017,13365736,4358071
2018,US,Georgia,10456145,0.9383271630650727,2071076,6924660,1460409
2018,US,Hawaii,1375205,0.9588949775722154,256527,857711,260967
2018,US,Idaho,1750670,1.0019142410845994,370340,1102048,278282
2018,US,Illinois,12713360,0.9637708213204513,2357869,8362530,1992961
2018,US,Indiana,6689037,0.972488813582113,1297240,4336776,1055021
2018,US,Iowa,3154344,0.9900621306105556,607897,2006617,539830
2018,US,Kansas,2888772,0.9813400512623895,587402,1839129,462241
2018,US,Kentucky,4451683,0.9661364963355354,837926,2883131,730626
2018,US,Louisiana,4644049,0.9490290630573917,915944,3009672,718433
2018,US,Maine,1337036,0.9579025673166475,205113,855924,275999
2018,US,Maryland,6008434,0.9339853088246513,1113454,3963844,931136
2018,US,Massachusetts,6897212,0.9424613160172234,1119313,4638799,1139100
2018,US,Michigan,9992207,0.9695865629356797,1778233,6497370,1716604
2018,US,Minnesota,5609041,0.9918335068051742,1086377,3632862,889802
2018,US,Mississippi,2973020,0.9347852259674675,585371,1913174,474475
2018,US,Missouri,6107645,0.9602613191772073,1142600,3931081,1033964
2018,US,Montana,1058744,1.009619655377934,191343,668499,198902
2018,US,Nebraska,1922659,0.993090844254257,398790,1220203,303666
2018,US,Nevada,3023564,1.0012774545163312,574624,1972759,476181
2018,US,New Hampshire,1355151,0.9811222281998503,209494,900012,245645
2018,US,New Jersey,8899152,0.9537874265530961,1610804,5849821,1438527
2018,US,New Mexico,2083774,0.972732815292799,399009,1318576,366189
2018,US,New York,19517264,0.9419090786528704,3377638,12926092,3213534
2018,US,North Carolina,10286137,0.9330512787360427,1902430,6694442,1689265
2018,US,North Dakota,752902,1.0373922314648945,152549,483716,116637
2018,US,Ohio,11680680,0.9608872766976552,2140724,7544934,1995022
2018,US,Oklahoma,3923329,0.9746577479817197,798336,2505440,619553
2018,US,Oregon,4188167,0.982235842582294,726003,2723473,738691
2018,US,Pennsylvania,12800721,0.9598697923604291,2183844,8281247,2335630
2018,US,Rhode Island,1052881,0.9415782592419797,168074,702553,182254
2018,US,South Carolina,5042969,0.929730662587026,918200,3224854,899915
2018,US,South Dakota,878777,1.0148642544830069,183776,548147,146854
2018,US,Tennessee,6749342,0.9482449508835648,1249028,4390617,1109697
2018,US,Texas,28587498,0.9826276380566052,6163292,18821886,3602320
2018,US,Utah,3156270,1.0126410593391373,778881,2026911,350478
2018,US,Vermont,625727,0.9741326274675594,94714,409806,121207
2018,US,Virginia,8401660,0.9529796814017764,1553743,5532516,1315401
2018,US,Washington,7483387,0.99174571489407,1392419,4926736,1164232
2018,US,West Virginia,1804861,0.9803431688808718,300688,1144295,359878
2018,US,Wisconsin,5810500,0.9893692598710958,1053529,3771498,985473
2018,US,Wyoming,574746,1.0331388911489305,112863,366508,95375
